,Affiliation_ID,Affiliation_Name,Score
215,4F05DC4B,yahoo,7.7583333333333355
502,4CE6FC2D,microsoft,4.104761904761904
243,05E79D01,tsinghua university,3.741666666666667
262,090B77B3,university of waterloo,2.5
271,00784876,university of glasgow,1.9999999999999998
608,09E3EE34,national university of singapore,1.4
72,34DF872C,university of amsterdam,1.369047619047619
414,03839CF8,yandex,1.25
680,012E6F4E,chinese academy of sciences,1.1333333333333333
378,0D109F83,purdue university,1.0
621,0D57443D,heidelberg university,1.0
199,0BF77E37,hong kong university of science and technology,1.0
637,0154426A,kyoto university,1.0
501,0312B01D,university of virginia,1.0
705,08443C72,university of padua,1.0
287,039DB9B6,university of regensburg,1.0
394,04C30B43,singapore management university,1.0
354,08F7F83A,emory university,1.0
5,01A8C383,university of michigan,1.0
80,08F452CF,university of electronic science and technology of china,1.0
263,0368E8BE,new york university,1.0
568,4CF99586,google,1.0
548,0C3BAC1F,nankai university,0.9999999999999998
715,04B5445A,renmin university of china,0.75
351,02B09E25,university college london,0.7333333333333334
6,06E63D20,university of insubria,0.6666666666666666
217,0B0DA3DC,wayne state university,0.6666666666666666
712,023B9EF3,wuhan university,0.6000000000000001
573,067461C8,university of pisa,0.5
479,0619822C,karlsruhe institute of technology,0.5
415,093FC384,rochester institute of technology,0.5
612,045716B5,drexel university,0.5
10,03FC4F79,east china normal university,0.4
181,01438A3B,kazan federal university,0.3333333333333333
317,092F5EFF,shandong university,0.3333333333333333
213,0B78A521,york university,0.3333333333333333
99,00F8422C,santa clara university,0.25
32,0B4EC93C,university of konstanz,0.25
130,0A4ACFBD,nanyang technological university,0.2
334,04F2C66A,eindhoven university of technology,0.16666666666666666
194,02DB0F2D,vmware,0.16666666666666666
657,0368D319,university of lugano,0.16666666666666666
237,02AD820C,ozyegin university,0.0
245,05397CB8,vtt technical research centre of finland,0.0
240,4F3BE6AD,philips,0.0
238,01A842AA,brown university,0.0
239,04EAD036,auburn university,0.0
242,0C1EB600,university of lyon,0.0
241,0B2D8123,lund university,0.0
244,0555D86A,illinois state police,0.0
249,863B5D1F,cloudera,0.0
246,373A6845,leipzig university,0.0
255,0BF6BC56,vanderbilt university,0.0
261,022B685F,nanjing university of science and technology,0.0
260,092FD9CF,university of auckland,0.0
259,0056B275,university of adelaide,0.0
258,09676E2E,sun yat sen university,0.0
257,02AD1047,mitre corporation,0.0
256,0228E4F2,university of bristol,0.0
254,069BF47D,disney research,0.0
247,09E1E653,rensselaer polytechnic institute,0.0
253,08BCC883,beckman institute for advanced science and technology,0.0
252,4DF15CEF,lytro,0.0
251,07DEF9D7,universite libre de bruxelles,0.0
250,4D0FB79F,commonwealth scientific and industrial research organisation,0.0
235,0A2510E5,university of pittsburgh,0.0
248,03BF901A,federal university of amazonas,0.0
236,01AE4F56,qatar computing research institute,0.0
740,04AF492D,rutgers business school newark and new brunswick,0.0
234,0112E226,simon fraser university,0.0
201,0BC3491B,korea university,0.0
209,4D2B1EE6,centre national de la recherche scientifique,0.0
208,3333E44B,virginia tech,0.0
207,0294EAD4,dalian maritime university,0.0
206,0B46561F,university of milan,0.0
205,01C3C549,ecole normale superieure,0.0
204,0749A315,university of nebraska omaha,0.0
203,07802943,beijing institute of technology,0.0
202,070A58AF,new jersey institute of technology,0.0
200,008ED3A6,university of bologna,0.0
233,34190567,teesside university,0.0
198,0A63B3A3,technion israel institute of technology,0.0
197,4E0DE25A,blackberry limited,0.0
196,02C7065C,poznan university of technology,0.0
195,08B4FEC0,university of texas pan american,0.0
193,0489A984,zhejiang university,0.0
192,4DBAC46F,nvidia,0.0
191,02D9A7F2,sultan qaboos university,0.0
190,031EE95E,ohio state university,0.0
210,070A9F1F,general motors,0.0
211,09DC92C5,indiana university bloomington,0.0
212,08053B2B,paul sabatier university,0.0
214,04F353DF,robotics institute,0.0
232,04946B1E,university of missouri,0.0
231,05EFFB90,national taipei university,0.0
230,0AE9651A,shanghai jiao tong university,0.0
229,00CC80B3,joanneum research,0.0
228,0D52D485,university of utah,0.0
227,07BC3356,university of vienna,0.0
226,031AFA6D,university of york,0.0
225,09B2D407,george mason university,0.0
265,06D27A8D,university of geneva,0.0
224,4D71CB46,national institutes of health,0.0
223,01E93C2F,heriot watt university,0.0
222,012BCF09,wright state university,0.0
221,07F5B6CA,harvey mudd college,0.0
220,4DCCAA64,lovelace respiratory research institute,0.0
219,0A0E755C,city university of hong kong,0.0
218,0AC1438B,university of bremen,0.0
216,078A8AE9,university of science and technology of china,0.0
264,03959311,nagoya university,0.0
275,078981CC,delphi automotive,0.0
266,00C50601,northeastern university,0.0
267,06CD3667,leibniz university of hanover,0.0
333,09E1988B,university of melbourne,0.0
332,86349B09,taobao,0.0
331,4E1BB800,accenture,0.0
330,07930A8B,imt institute for advanced studies lucca,0.0
329,01F6ADD2,helsinki institute for information technology,0.0
328,4C81D300,netapp,0.0
327,01D5887E,istituto italiano di tecnologia,0.0
326,08F47EBA,university of shizuoka,0.0
325,04BE3F72,university of pennsylvania,0.0
324,0412EAF6,shih hsin university,0.0
323,0617689C,university of paris sud,0.0
322,040F37A8,universidade federal de goias,0.0
321,00F9B76E,hefei university of technology,0.0
320,07CA5884,georgia institute of technology,0.0
319,4D07390E,nuance communications,0.0
318,00CE2969,texas state university,0.0
316,0B0ADEB6,university of toronto,0.0
315,0389C918,instituto politecnico nacional,0.0
314,2BECA4ED,college of western idaho,0.0
335,02B49FCD,gakushuin university,0.0
336,0B845BA3,university of trento,0.0
337,03C0079C,technische universitat munchen,0.0
348,0742D5C5,louisiana state university,0.0
358,339CD1B3,vu university amsterdam,0.0
357,0489F1AC,biodesign institute,0.0
356,003E7116,graz university of technology,0.0
355,0C37CBAD,harbin institute of technology,0.0
353,4EF77785,hewlett packard,0.0
352,07454816,utah state university,0.0
350,863BFDE1,facebook,0.0
349,01E46A0B,university of new south wales,0.0
347,0C2C9DD2,university of california irvine,0.0
338,0787E01C,portland state university,0.0
346,091BC727,singapore university of technology and design,0.0
345,04281A41,university of chile,0.0
344,08B9DFEF,university of tsukuba,0.0
343,0C01DCFD,university of washington,0.0
342,099BC521,youngstown state university,0.0
341,05A55A03,university of jyvaskyla,0.0
340,00EE209B,otsuma women s university,0.0
339,00F1EE39,telecom sudparis,0.0
313,012F592B,moscow state university,0.0
312,07511464,sas institute,0.0
311,500B3463,oracle corporation,0.0
278,083D03E5,eastern michigan university,0.0
286,0ACED25B,donghua university,0.0
285,08EAA2CB,xidian university,0.0
284,02E90378,paris 8 university,0.0
283,0B78A057,sandia national laboratories,0.0
282,07103214,national research university higher school of economics,0.0
281,009F903A,university of santiago chile,0.0
280,0073ECCC,hungarian academy of sciences,0.0
279,4DFEDD28,santa fe institute,0.0
277,0757A922,reykjavik university,0.0
289,07BDC4B0,university of oldenburg,0.0
276,0C42C8D3,institut mines telecom,0.0
188,05A3DA1F,university of twente,0.0
274,03FA8F1E,university of milano bicocca,0.0
273,0A990BE9,university of mannheim,0.0
272,09F90C50,ge global research,0.0
270,03FCE859,university of yamanashi,0.0
269,04592826,washington state university,0.0
268,02585490,humboldt university of berlin,0.0
288,043A55FE,universite de montreal,0.0
290,4CC3C85D,massachusetts general hospital,0.0
310,041C3083,martin luther university of halle wittenberg,0.0
301,0027E0B8,university of south florida,0.0
309,0B3B54E4,zynga,0.0
308,03C3607B,university of cincinnati,0.0
307,08BA2180,university of kansas,0.0
306,01E0D8CE,technische universitat darmstadt,0.0
305,0216C308,federal university of rio grande do norte,0.0
304,0578DF46,national cheng kung university,0.0
303,0108DAB7,aalto university school of science,0.0
302,4D68F3D7,environmental defense fund,0.0
300,005237C4,university of rochester,0.0
291,061A19CA,bryn mawr college,0.0
299,0B7D39A1,university of macedonia,0.0
298,0502A721,hyogo university,0.0
297,00D4F325,bar ilan university,0.0
296,03099350,centers for medicare and medicaid services,0.0
295,07DA0A1C,university of salerno,0.0
294,4CDD5BAE,bbn technologies,0.0
293,03CAFC05,autonomous university of madrid,0.0
292,0259891E,university of illinois at chicago,0.0
189,4E1BA375,chicago metropolitan agency for planning,0.0
178,05B9651E,kumamoto university,0.0
187,04FB01B8,universidade nova de lisboa,0.0
48,05DAB8C0,polytechnic institute of new york university,0.0
68,0A10A938,bilkent university,0.0
67,06D35AFB,new york university stern school of business,0.0
66,04F1BEA5,rmit university,0.0
65,03D00B37,massachusetts institute of technology,0.0
64,06CB2E98,twitter,0.0
63,01FB725A,german research centre for artificial intelligence,0.0
62,067C4210,baden wurttemberg cooperative state university,0.0
61,0AD3BA36,university of strathclyde,0.0
60,09989277,queensland university of technology,0.0
59,0349EE07,university of california,0.0
58,07F8AFEC,university of massachusetts lowell,0.0
57,0A08EC51,kyoto sangyo university,0.0
56,8626355D,samsung,0.0
55,01710C78,sichuan university,0.0
54,0437D79B,mines paristech,0.0
53,07B9F6F5,university of molise,0.0
52,00F94921,university of sannio,0.0
51,01124466,university of sao paulo,0.0
50,0486EC92,free university of berlin,0.0
69,335ED749,sapienza university of rome,0.0
70,052F5108,royal institute of technology,0.0
71,05B3DFF1,universite catholique de louvain,0.0
84,35E9831D,ruhr university bochum,0.0
92,046C3B83,lewis clark college,0.0
91,09EB15AA,national university of cordoba,0.0
90,02AA1FA9,university of science and technology sana a,0.0
89,0C6703C3,david r cheriton school of computer science,0.0
88,01C5C92C,guangxi normal university,0.0
87,0159FE4E,williams college,0.0
86,0B08755E,university of california santa cruz,0.0
85,03B6E7B2,university of duisburg essen,0.0
83,0B1B8D25,university of passau,0.0
73,05BDC90E,national yang ming university,0.0
82,018A6121,national tsing hua university,0.0
81,0ADC5821,university of salzburg,0.0
79,08E4D2D6,university of antwerp,0.0
78,06EB0D45,university of rome tor vergata,0.0
77,4F076E00,siemens,0.0
76,06D18AFD,university of nebraska lincoln,0.0
75,012C9CDF,florida international university,0.0
74,00725F06,idiap research institute,0.0
49,0BC22D41,nagoya institute of technology,0.0
47,4D7B0467,bloomberg l p,0.0
94,06167391,linkoping university,0.0
46,04C3E428,mugla university,0.0
22,03528CBA,technical university of crete,0.0
21,05E2161B,university of caen lower normandy,0.0
20,07BAB9E7,wharton school of the university of pennsylvania,0.0
19,09EB4F00,united states army research laboratory,0.0
18,04FD6759,university of michigan school of information,0.0
17,0BCE997F,ball state university,0.0
16,07FD08C8,alpen adria universitat klagenfurt,0.0
15,056FA77A,university of haifa,0.0
14,0AB1BE73,indian council of agricultural research,0.0
13,03839B48,case western reserve university,0.0
12,08EF476D,max planck society,0.0
11,083839C7,north carolina state university,0.0
9,0011114D,university of east anglia,0.0
8,0C34AB7F,norwegian university of science and technology,0.0
7,0A0FF9EB,h milton stewart school of industrial and systems engineering,0.0
4,06918666,universidade federal de minas gerais,0.0
3,031C31BE,university of waikato,0.0
2,03FC3F40,chalmers university of technology,0.0
1,028E8644,nicta,0.0
23,4F1AE805,state university of new york system,0.0
24,0DC52CFD,hellenic open university,0.0
25,08495949,guangdong university of technology,0.0
37,02D66721,hang seng management college,0.0
45,043F7F1E,victoria university australia,0.0
44,86317390,technicolor,0.0
43,08D69EB4,lawrence berkeley national laboratory,0.0
42,0C14EACF,university of zurich,0.0
41,05669A68,south china university of technology,0.0
40,038AE3AA,brunel university london,0.0
39,01DF6D2D,kyungpook national university,0.0
38,01198E98,yantai university,0.0
36,09B52E07,tianjin university,0.0
26,01F164D0,ghent university,0.0
35,4F51463F,narus,0.0
34,05C31D4B,technical university of denmark,0.0
33,09396A59,university of piraeus,0.0
31,4D8B08D7,centralesupelec,0.0
30,022F9467,courant institute of mathematical sciences,0.0
29,025D2C19,colgate university,0.0
28,01461554,aristotle university of thessaloniki,0.0
27,015B46C7,ohio university,0.0
93,0B86525A,daegu gyeongbuk institute of science and technology,0.0
95,86366AC3,nippon telegraph and telephone,0.0
186,0922AB66,kaiserslautern university of technology,0.0
142,8623AC36,telefonica,0.0
162,05E1B1D9,university of edinburgh,0.0
161,4DADEF94,max planck institute for intelligent systems,0.0
160,04AEE5C7,monash university clayton campus,0.0
159,06041575,university college dublin,0.0
158,01FACAD8,university of florida,0.0
157,4DA444BF,chinese ministry of public security,0.0
156,01AFAF1B,university of surrey,0.0
155,0743CD5B,johannes kepler university of linz,0.0
154,05DBB954,osaka university,0.0
153,0A2A1FC3,millsaps college,0.0
152,500F4F9C,intel,0.0
151,05A21A71,braunschweig university of technology,0.0
150,070DD774,australian national university,0.0
149,09DDAA88,tokyo denki university,0.0
148,03C436D1,university at buffalo,0.0
147,035F81F4,monash university,0.0
146,0C629EED,lahore university of management sciences,0.0
145,04BEE6D7,university of birmingham,0.0
144,09B0BBA7,university of texas at dallas,0.0
163,0616AB9C,university of north carolina at charlotte,0.0
164,0C33D1B1,queen s university,0.0
165,01B2BC70,dso national laboratories,0.0
176,0830FCA0,franklin w olin college of engineering,0.0
185,06194FDE,rutgers university,0.0
184,0581F5D5,university of science and technology beijing,0.0
183,4E045540,symantec,0.0
182,039459BF,polytechnic university of valencia,0.0
180,00493E54,southwest jiaotong university,0.0
179,00C86936,university of cantabria,0.0
360,0ACF7BFE,university of erlangen nuremberg,0.0
177,0A5D91BE,university of washington tacoma,0.0
175,4E286443,apple inc,0.0
166,066F2C46,university of lethbridge,0.0
174,09299093,university of ottawa,0.0
173,0267A61E,university of chicago,0.0
172,0B40411E,national university of ireland galway,0.0
171,0092C1B8,polytechnic university of catalonia,0.0
170,0352F953,indiana university purdue university indianapolis,0.0
169,087CBF68,college of staten island,0.0
168,00243975,max planck institute for software systems,0.0
167,06771A5A,stevens institute of technology,0.0
143,09266AF0,national taiwan ocean university,0.0
141,09EA1A37,queen mary university of london,0.0
96,86263FDB,tencent,0.0
140,0474FB72,rice university,0.0
116,088A680B,hasso plattner institute,0.0
115,021CC5D8,eth zurich,0.0
114,0B002509,royal holloway university of london,0.0
113,0BF8A745,nanjing university of information science and technology,0.0
112,0011EAC4,university of southern california,0.0
111,09F18F79,university of tampere,0.0
110,0AC9113B,illinois institute of technology,0.0
109,004CA7A3,mcgill university,0.0
108,01776B6C,university of massachusetts amherst,0.0
107,02965656,laval university,0.0
106,0413757D,thomson reuters,0.0
105,00962EEC,nanjing university of aeronautics and astronautics,0.0
104,0BC0A2DC,southeastern louisiana university,0.0
103,862979F8,tcl corporation,0.0
102,4DDE3B69,adobe systems,0.0
101,009779A9,aalto university,0.0
100,00FD6FCE,hunan university,0.0
98,0BC1D058,hebrew university of jerusalem,0.0
97,07D2B6B9,oregon state university,0.0
117,4E636137,marshfield clinic,0.0
118,35BD5C33,interpublic group of companies,0.0
119,09B97DFE,cyprus university of technology,0.0
131,002932B0,pontifical catholic university of rio de janeiro,0.0
139,05C86094,stanford university,0.0
138,0C2DEF79,aarhus university,0.0
137,0296D744,university of southampton,0.0
